Listing Name,Price,Room Type,Reviews,Location
Spacious 2 BR apartment in Bed-Stuy,214,Entire home/apt,41 reviews,
Spacious Studio,133,Entire home/apt,0 reviews,
Convenient Cozy Room,94,Private room,6 reviews,
Beautiful + Modern BK Apartment,269,Entire home/apt,0 reviews,
Spacious Room in a Brooklyn House,108,Private room,51 reviews,
NEW 2BR Flat Only 15 Min To NYCity,229,Entire home/apt,0 reviews,
Spacious Suite in Hip Bushwick!,121,Entire home/apt,14 reviews,
Room in 2bdr with Private balcony!,121,Private room,5 reviews,
Modern and spacious in Bed Stuy,135,Entire home/apt,2 reviews,
Sunny & Hip in Brooklyn,67,Private room,1 review,
Sunny Private Bedroom 30m-Manhattan,66,Private room,0 reviews,
Spacious Studio Room in Bed Stuy,81,Private room,8 reviews,
BUDGET ROOM- 15 MINUTES >MANHATTAN!,79,Private room,55 reviews,
Affordable room 20 min to Downtown!,51,Private room,5 reviews,
nice bedroom2 10 min from Manhattan,108,Private room,4 reviews,
Safe residential neighborhood,75,Private room,4 reviews,
Cozy room in center of Park Slope,94,Private room,5 reviews,
True Brooklyn Loft Experience,202,Entire home/apt,1 review,
Beautiful Sunny Bedroom in BedStuy,81,Private room,0 reviews,
1 bedroom in 4 bedroom apt,54,Private room,2 reviews,
Awesome Private room with 2 Beds,135,Private room,17 reviews,
Charming Park Slope 1BR w/ Patio,188,Entire home/apt,6 reviews,
Warehouse apartment with rooftop!,182,Entire home/apt,5 reviews,
2nd bedroom in spacious apartment,61,Private room,3 reviews,
Peaceful Room in Dumbo Art Loft,172,Private room,4 reviews,
Bungalow in Bushwick - Cozy & Clean,269,Entire home/apt,0 reviews,
2BR+lovely garden in Pros. Heights,249,Entire home/apt,2 reviews,
Charming Old-School Apartment 2,88,Private room,4 reviews,
Futon in partitioned living room,43,Shared room,9 reviews,
Clean Private Room in Modern Apt,108,Private room,1 review,
Large sunny room  !,74,Private room,5 reviews,
$50 Special for First Guests,67,Private room,0 reviews,
Super Sunny 2BR TopFL Brwnstn Apt,195,Entire home/apt,0 reviews,
Recharge in beautiful Prospect Hts!,67,Shared room,1 review,
Nice bedroom w/ private half bath,94,Private room,0 reviews,
Entire Furnished 1BR Brownstone,101,Entire home/apt,0 reviews,
1br in 2br Clinton Hill / Ft Green,54,Private room,0 reviews,
5 Star Apartment and Experience,228,Entire home/apt,166 reviews,
Awesome Private room with 2 Beds,135,Private room,17 reviews,
Charming Park Slope 1BR w/ Patio,188,Entire home/apt,6 reviews,
Warehouse apartment with rooftop!,182,Entire home/apt,5 reviews,
2nd bedroom in spacious apartment,61,Private room,3 reviews,
Peaceful Room in Dumbo Art Loft,172,Private room,4 reviews,
Bungalow in Bushwick - Cozy & Clean,269,Entire home/apt,0 reviews,
2BR+lovely garden in Pros. Heights,249,Entire home/apt,2 reviews,
Charming Old-School Apartment 2,88,Private room,4 reviews,
Futon in partitioned living room,43,Shared room,9 reviews,
Clean Private Room in Modern Apt,108,Private room,1 review,
Large sunny room  !,74,Private room,5 reviews,
$50 Special for First Guests,67,Private room,0 reviews,
Super Sunny 2BR TopFL Brwnstn Apt,195,Entire home/apt,0 reviews,
Recharge in beautiful Prospect Hts!,67,Shared room,1 review,
Nice bedroom w/ private half bath,94,Private room,0 reviews,
Entire Furnished 1BR Brownstone,101,Entire home/apt,0 reviews,
1br in 2br Clinton Hill / Ft Green,54,Private room,0 reviews,
5 Star Apartment and Experience,228,Entire home/apt,166 reviews,
Brooklyn eco house share,108,Private room,0 reviews,
Modern & Beautiful Brooklyn Living,252,Entire home/apt,3 reviews,
Spacious Park Slope brownstone,202,Entire home/apt,22 reviews,
Sunny room for 2 near Park Slope,114,Private room,0 reviews,
Cozy room with Pvt Entrance Sleep 1,61,Private room,23 reviews,
Entire 3BR Lux Apt 20min>Manhattan,133,Entire home/apt,32 reviews,
Cozy room in our new apartment.,79,Private room,14 reviews,
Private Room & Bath in Brooklyn!,135,Private room,54 reviews,
Charming Room in Luxe New Home,90,Private room,5 reviews,
STUDIO APT SIZE ROOM /OWN BATHROOM,121,Private room,47 reviews,
"Charming Garden Studio, Park Slope",202,Entire home/apt,0 reviews,
Relaxed Elegance in a Brownstone,110,Private room,21 reviews,
Sunny Room in Clinton Hill Loft,108,Private room,0 reviews,
Your perfect yard with Jacuzzi home,67,Private room,0 reviews,
BED & BATHROOM in BROOKLYN,135,Private room,36 reviews,
JazzyBedstuy NYC! Quiet clean cool!,101,Private room,7 reviews,
Luxury 2bed 2bath on Prospect Park,263,Entire home/apt,0 reviews,
East Williamsburgs finest.,168,Entire home/apt,0 reviews,
Brand New Brooklyn studio,202,Entire home/apt,12 reviews,
"Sunny room, A/C, bike,Prospect Park",67,Private room,52 reviews,
Huge bedroom with private bathroom.,81,Private room,0 reviews,
Luxurious Brooklyn Studio!,135,Entire home/apt,5 reviews,
"Spacious, Art-Filled Garden Apt",215,Entire home/apt,0 reviews,
"1 Bdrm in Duplex, Private Bathroom",128,Private room,20 reviews,
Gorgeous Bedroom in Brooklyn NYC!!,108,Private room,5 reviews,
Southern Brooklyn Sunsets,67,Private room,1 review,
Entire Furnished 1BR Brownstone,101,Entire home/apt,0 reviews,
A couch in Brooklyn,61,Shared room,17 reviews,
Warehouse apartment with rooftop!,182,Entire home/apt,5 reviews,
NEW 2BR Flat Only 15 Min To NYCity,229,Entire home/apt,0 reviews,
