Listing Name,Price,Room Type,Reviews,Location
AVAILABLE AUG! Carriage House Suite,222,Entire home/apt,212 reviews,
Great New York Williamsburg Loft!,310,Entire home/apt,0 reviews,
"Musician's Den, live Jazz in NYC",81,Private room,19 reviews,
"Large, Luxury Bedroom nr JMZ subway",88,Private room,9 reviews,
Brooklyn Zen Gem Serenity Bedroom,101,Private room,4 reviews,
"Cozy room, great view of Manhattan",101,Private room,57 reviews,
AFFORDABLE PRIVATE ROOM,61,Private room,0 reviews,
Welcome to Brooklyn!,108,Private room,0 reviews,
PRIME Upscale Brooklyn! NEAR MANHTN,108,Private room,2 reviews,
Brooklyn Creative Snooze Factory,88,Private room,21 reviews,
Room with Private Bathroom.,102,Private room,15 reviews,
Room in East Williamsburg,135,Private room,0 reviews,
"Comfortable, Stylish 1 Bedroom",155,Entire home/apt,9 reviews,
"Beautiful Brownstone, your 2nd home",148,Entire home/apt,0 reviews,
spacious room in brooklyn,88,Private room,0 reviews,
Private Williamsburg Flat,168,Entire home/apt,60 reviews,
Cozy East Williamsburg Room,61,Private room,1 review,
HEART of BK! 10 min to Manhattan!,140,Private room,24 reviews,
BROOKLYN - RAILROAD 2-1 Room,51,Shared room,29 reviews,
Modern Comfortable Private RM 1,54,Private room,29 reviews,
Wburg 1 bedroom - Spacious & Sunny,195,Entire home/apt,1 review,
Large bright 2-bedroom,215,Entire home/apt,19 reviews,
"Sunny Apartment in Brooklyn, NY",148,Entire home/apt,1 review,
SUNNY BROOKLYN ROOM C- NEXT TO MTA!,94,Private room,36 reviews,
Brooklyn Loft with a view!,79,Private room,23 reviews,
Global Modern Garden Apt BedStuy,182,Entire home/apt,77 reviews,
NEW MODERN LOFT 3 ON BEDFORD AVE!!!,135,Private room,52 reviews,
1 bedroom in 4 bedroom apt,54,Private room,2 reviews,
Comfy Couch - 30m From Manhattan,34,Shared room,2 reviews,
Sunny Room by Prospect Park,81,Private room,20 reviews,
cozy newly renovated  apt in bklyn,201,Entire home/apt,18 reviews,
Cozy Room in Huge Crown Heights Apt,63,Private room,4 reviews,
nice room in bedstuy 5,67,Private room,22 reviews,
South Slope Pied-A-Terre Studio,174,Entire home/apt,22 reviews,
Suite with eat-in Kitchen,108,Private room,15 reviews,
"Gorgeous, Sunny and Spacious 1 Brdm",222,Entire home/apt,12 reviews,
Holiday Stay,47,Private room,0 reviews,
Budget Room in Williamsburg - 2A,74,Private room,11 reviews,
Brooklyn Studio close to train,128,Entire home/apt,5 reviews,
Luxurious Garden-Level Apartment,188,Entire home/apt,1 review,
Perfect for you! #3,74,Private room,18 reviews,
NICE ROOM #1 ~ AWESOME LOCATION!!!,222,Private room,6 reviews,
Entire Waterfront Loft; City Views,272,Entire home/apt,78 reviews,
Charming and Spacious 1 bedroom,114,Private room,2 reviews,
1 BR-charming duplex-Priv. rooftop,94,Private room,8 reviews,
Beautiful Spacious Apartment in BK,160,Entire home/apt,1 review,
Cozy Crown Heights Apartment,101,Private room,21 reviews,
Ultra central cozy private Brooklyn,106,Private room,2 reviews,
Entire Garden Floor of Brownstone,168,Entire home/apt,26 reviews,
Architects hip Brooklyn Oasis!,163,Entire home/apt,12 reviews,
Sunny Room in Prime Bedstuy,83,Private room,7 reviews,
Spacious Guest Room in Brownstone,114,Private room,12 reviews,
Private Rm+Roofdeck: Clean&Lovely,108,Private room,38 reviews,
"Location, Location, Park Slope",236,Entire home/apt,1 review,
Whole B'stone flr w priv kit & bat,108,Private room,8 reviews,
Summertime in the heart of Brooklyn,202,Entire home/apt,6 reviews,
Bright Bedroom in Brooklyn Pad,120,Private room,0 reviews,
Bright Modern Brooklyn Home,93,Private room,5 reviews,
Tiny little private nook!,53,Private room,34 reviews,
"Sunny, Clean Room in Brooklyn",54,Private room,0 reviews,
Large Sunny 1BR - Entire 2nd Floor,201,Entire home/apt,94 reviews,
"Sunny Room, Great Location",61,Private room,3 reviews,
Bushwick/Bed Stuy Border,54,Private room,2 reviews,
Southern Brooklyn Sunsets,67,Private room,1 review,
Cosy apt on a super friendly block,121,Entire home/apt,2 reviews,
2min to L train 20min to Union Sq,67,Private room,1 review,
Sunny Loft 15 min. to Union Square,121,Private room,127 reviews,
Modern and Sunny with Treetop Views,101,Private room,0 reviews,
PRIVATE Room||Luxury Apt,101,Private room,0 reviews,
Cozy Eclectic with Private Bath!!,88,Private room,34 reviews,
Beautiful Bushwick - 3BR Apartment,234,Entire home/apt,25 reviews,
Fun n easy Bushwick morgan stop!,69,Shared room,30 reviews,
The BLUE ROOM in Artist's B&B!,133,Private room,118 reviews,
Fully furnished 1 br apt.,202,Entire home/apt,4 reviews,
Cozy garden studio in hip Gowanus,168,Entire home/apt,2 reviews,
"Sunny, calm room in Victorian home",106,Private room,78 reviews,
Backyard Deck Williamsburg Room!,128,Private room,42 reviews,
Awesome Room with 2 Beds and Futon,114,Private room,0 reviews,
ROOM WITH A  KITCHENETTE,108,Entire home/apt,101 reviews,
BED-STUY SOUTHERN COMFORT,182,Entire home/apt,26 reviews,
2 Bedroom Duplex,175,Entire home/apt,1 review,
Stylish Arty Brooklyn Appartment #4,236,Entire home/apt,27 reviews,
Private Room in Hip Williamsburg,104,Private room,25 reviews,
A garden apartment in a brownstone.,202,Entire home/apt,12 reviews,
Mod Glamor in Bed-Stuy Garden Flat,202,Entire home/apt,0 reviews,
Modern Condo/Private Terrace w/View,133,Entire home/apt,0 reviews,
OPEN LOFT BED in nice apt hip area,54,Shared room,2 reviews,
NYC by the beach!,67,Private room,0 reviews,
Island Haven in the Big City,148,Private room,12 reviews,
"Sunny, well-appointed Brooklyn room",53,Private room,55 reviews,
"Private room, workspace + XL patio!",74,Private room,1 review,
Studio in great neighborhood,108,Entire home/apt,4 reviews,
"Sunny Room, Backyard, Rooftop by L",129,Private room,25 reviews,
Sunny large window room with view,94,Private room,2 reviews,
Sunny Bright Williamsburg Apartment,303,Entire home/apt,8 reviews,
Affordable room in Williamsburg!,67,Private room,2 reviews,
The Emerald at The Gatling,267,Entire home/apt,17 reviews,
Location Location Location!!!,135,Private room,7 reviews,
Chic and Cozy Heart of Williamsburg,128,Private room,0 reviews,
Amazing Room in Modern Loft,135,Private room,25 reviews,
Option of 2 Full Beds + Roof Deck,78,Private room,103 reviews,
Luxurious Brooklyn Getaway!,135,Entire home/apt,17 reviews,
"Private space w/futon, near train",54,Private room,8 reviews,
Bunk in Brooklyn 3,39,Shared room,12 reviews,
Beautiful Bedroom In Crown Heights!,132,Private room,0 reviews,
Bed & Bath Suite in New Duplex,113,Private room,13 reviews,
SUNNY ROOM A PRIME CHIC WILLYBURG!!,135,Private room,56 reviews,
"nice room to rent, Brooklyn",101,Private room,24 reviews,
Big Sunny Bdrm fits 3-4 in E W-burg,101,Private room,48 reviews,
Sunny Loft 15 min. to Union Square,121,Private room,127 reviews,
Bargain Private Room A2,106,Private room,38 reviews,
Gorgeous Room Near Prospect Park,93,Private room,4 reviews,
Best Corner of Bushwick; Guest Room,101,Private room,4 reviews,
Cozy Room in Williamsburg,114,Private room,20 reviews,
Room in Williamsburg Rowhouse - 2C,88,Private room,6 reviews,
Sunny Bedroom in Williamsburg Loft,128,Private room,39 reviews,
Prvt Garden Flat 15mins/Manhattan,135,Entire home/apt,48 reviews,
THREE BEDROOM APARTMENT IN BROOKLYN,202,Entire home/apt,9 reviews,
"Private, Large & Sunny 2BR w/W&D",222,Entire home/apt,140 reviews,
Nyc! Cozy room in Williamsburg,114,Private room,27 reviews,
True Brooklyn Loft Experience,202,Entire home/apt,1 review,
"Single room, City in 15! Great spot",67,Private room,46 reviews,
the perfect stay in brooklyn,120,Entire home/apt,71 reviews,
Entire 1 Bedroom Apt,168,Entire home/apt,1 review,
Easy Great Private Room!,61,Private room,6 reviews,
"Modern Room, Private Terrace w/View",128,Private room,33 reviews,
Studio with Outdoor Space,162,Entire home/apt,0 reviews,
Comfy Couch - 30m From Manhattan,34,Shared room,2 reviews,
Convenient 1 bedroom in Greenpoint,61,Private room,3 reviews,
Spacious 4-BD/2BA Townhouse in PLG,397,Entire home/apt,7 reviews,
Delightful Room in BEST Location,135,Private room,6 reviews,
Beautiful room off Bedford ave.,101,Private room,83 reviews,
Stylish Modern Comfort in Bed-Stuy,148,Entire home/apt,0 reviews,
Amazing Duplex Apt w/ 2 Terraces!,337,Entire home/apt,3 reviews,
Private Room in Victorian House,101,Private room,29 reviews,
One bedroom apartment,81,Entire home/apt,0 reviews,
Lovely Brooklyn Home Away From Home,105,Private room,0 reviews,
2BR Apt in Modern NYC Brownstone,241,Entire home/apt,24 reviews,
"Sunny, calm room in Victorian home",106,Private room,78 reviews,
Cozy Room in Super Convenient Area,77,Private room,1 review,
New studio - 25 min to the city,202,Entire home/apt,7 reviews,
Beautiful flat - prime Williamsburg,188,Entire home/apt,34 reviews,
Bright and Clean Room for You!,61,Private room,0 reviews,
Best Bedroom in Bedstuy/Bushwick,114,Private room,20 reviews,
Comfy Room in Park Slope,106,Private room,6 reviews,
Perfect One Bedroom in Brooklyn,81,Private room,2 reviews,
"bright, sunny room in new building",97,Private room,33 reviews,
Sunny + Stylish Brownstone Oasis,143,Entire home/apt,1 review,
Small Private Room # 1 and 1 Window,55,Private room,57 reviews,
"BK Garden Oasis 3, twin/full bunk!",97,Private room,15 reviews,
Sunny Private room in Brooklyn! Hip,101,Private room,5 reviews,
Best Price/Location deal in NYC,114,Private room,41 reviews,
Ideal Brooklyn Brownstone Apartment,222,Entire home/apt,69 reviews,
Introducing! Charming 1br Flat,114,Entire home/apt,0 reviews,
Amazing Duplex Apt w/ 2 Terraces!,337,Entire home/apt,3 reviews,
Sunny Nest in Bed-Stuy Treetops,143,Entire home/apt,8 reviews,
Cozy Private Room in Bushwick!,54,Private room,10 reviews,
Cozy Private Room on a Lovely Block,88,Private room,15 reviews,
sunny private bedroom,92,Private room,11 reviews,
Spacious and comfortable bedroom,121,Private room,2 reviews,
Heart of Williamsburg Brooklyn,350,Entire home/apt,0 reviews,
Prospect Heights Hangout,114,Entire home/apt,3 reviews,
Bright Lively Room in Hip Bed-Stuy,108,Private room,3 reviews,
New Unit in Shipping Container Home,133,Private room,0 reviews,
Park Slope/Gowanis Urban Oasis,62,Shared room,45 reviews,
Beautiful Home Away From Home,79,Private room,0 reviews,
Chic pad steps from Prospect Park,92,Entire home/apt,3 reviews,
"BK Garden Oasis 2, Queen Bd L Train",97,Private room,9 reviews,
Great room in hip Williamsburg,101,Private room,86 reviews,
"Location, Location, Park Slope",236,Entire home/apt,1 review,
Quiet 1BR on the Park with a Pool!,187,Entire home/apt,13 reviews,
Spacious Air Conditioned Room,81,Private room,4 reviews,
Luxe New Queen Br near Subways,83,Private room,11 reviews,
"Private space w/futon, near train",54,Private room,8 reviews,
Beautiful Brooklyn Brownstone 3 Bed,404,Entire home/apt,3 reviews,
"Spacious, furnished room for rent",86,Private room,11 reviews,
Crown Heights 2 bdrm Near Franklin,175,Entire home/apt,5 reviews,
Private BR + BR in modern Brkln apt,172,Private room,12 reviews,
Cute and bright studio apartment,141,Entire home/apt,9 reviews,
Lovely Brooklyn Home Away From Home,105,Private room,0 reviews,
Spacious private room in loft,135,Private room,51 reviews,
Bright/Beautiful Park Side Studio,94,Entire home/apt,5 reviews,
"Fab, Spacious Room near Barclay's",121,Private room,65 reviews,
Nice East Williamsburg Artist Loft,67,Private room,3 reviews,
Clean Private Room in Modern Apt,108,Private room,1 review,
Spacious Studio Room in Bed Stuy,81,Private room,8 reviews,
Brooklyn Brownstone Luxury!,132,Entire home/apt,17 reviews,
1 BD in Modern Bedstuy Duplex,58,Private room,0 reviews,
Private  Room - 15 min to Manhattan,93,Private room,33 reviews,
private room with private bathroom,133,Private room,49 reviews,
Private Bedroom & Bathroom W/ Yard,88,Private room,49 reviews,
Quiet room facing lush backyard,101,Private room,4 reviews,
"Your Brooklyn home, near Manhattan!",89,Private room,12 reviews,
Beds Bikes Breakfast on The Park,61,Private room,24 reviews,
Superhost Special Offer in NYC!,93,Private room,26 reviews,
East Williamsburg Artist Loft Room,67,Private room,2 reviews,
NYC artists’ loft with roof deck,67,Private room,76 reviews,
Stylish Modern Comfort in Bed-Stuy,148,Entire home/apt,0 reviews,
Budget Room in Williamsburg 3D,71,Private room,2 reviews,
Cozy Carroll Gardens Brownstone Apt,236,Entire home/apt,69 reviews,
One Bedroom $900/month or $30/night,40,Private room,3 reviews,
Flat w/ garden—15 min. to Manhattan,94,Entire home/apt,2 reviews,
Private Studio in Greenpoint,222,Entire home/apt,12 reviews,
Artistic Studio Apartment,121,Entire home/apt,36 reviews,
Modern Bedroom in Williamsburg Loft,128,Private room,49 reviews,
Spacious Room in Brooklyn for 2!,81,Private room,29 reviews,
Spacious Studio w/ Backyard,132,Entire home/apt,32 reviews,
Brooklyn Loft+City skyline view,74,Private room,31 reviews,
New Budget Room #4,66,Private room,21 reviews,
Large Bedroom in Bedstuy Brooklyn.,67,Private room,0 reviews,
Nice Bedroom in Brooklyn Brownstone,67,Private room,11 reviews,
Cozy BedStuy Nook with Private RR,67,Private room,4 reviews,
Beautiful & Bright on Bedford Ave!,114,Private room,31 reviews,
Spacious & Stylish-Central location,222,Entire home/apt,48 reviews,
Modern 1-Bedroom in DUMBO,202,Entire home/apt,13 reviews,
AWESOME ROOM IN BEDSTUY BROOKLYN! !,67,Private room,12 reviews,
Williamsburg Private Room For Rent,108,Private room,33 reviews,
Large Williamsburg Artist Loft,335,Entire home/apt,0 reviews,
Sunny Clinton Hill Apt w/Patio,201,Entire home/apt,1 review,
"Charming Park Slope, Brooklyn",118,Private room,49 reviews,
Private Room in Williamsburg NYC,114,Private room,33 reviews,
"Easy going, clean and close to city",88,Private room,42 reviews,
ArtistLoft-McCarenPark-Williamsburg,147,Private room,55 reviews,
Daybed with privacy curtain,66,Shared room,1 review,
Room with your private garden,88,Private room,1 review,
Williamsburg Penthouse Hideaway,88,Private room,67 reviews,
Spacious Bushwick Artist's Loft,182,Entire home/apt,17 reviews,
"Comfortable, Lovely Room on L Train",79,Private room,41 reviews,
700 Sq Ft Luxe Loft Floor + Kitchen,168,Entire home/apt,52 reviews,
A Little Haven in Brooklyn,135,Entire home/apt,21 reviews,
New listing! Bk artist loft.,252,Entire home/apt,17 reviews,
Heart of Boerum Hill Brownstone 3rm,108,Private room,7 reviews,
Lovely Guestroom in Brownstone,88,Private room,16 reviews,
Mayor's Mansion - Carlton_Suite,135,Private room,20 reviews,
Private Spacious Room with bathroom,135,Private room,0 reviews,
Sunny 1BR with Terrace/City Views,228,Entire home/apt,24 reviews,
Historic Clinton Hill Townhouse,364,Entire home/apt,0 reviews,
"Cozy, spacious & convenient 1 BR :)",101,Private room,54 reviews,
VacationRental! Big Room!,89,Private room,4 reviews,
Beautiful Light Filled Apartment!,162,Entire home/apt,48 reviews,
Seven Days Sleep Near Prospect Park,135,Entire home/apt,55 reviews,
Classic Brooklyn brownstone,228,Private room,32 reviews,
Modern and Sunny with Treetop Views,101,Private room,0 reviews,
Spacious Sunny fabulous Fort Greene,114,Private room,0 reviews,
Park Slope Green Guest House,182,Entire home/apt,244 reviews,
Private room in Williamsburg,168,Private room,30 reviews,
Sun-drenched Spacious Apt Share,86,Private room,14 reviews,
Triplex Penthouse in New York,377,Entire home/apt,10 reviews,
Artsy Loft in New Building by the L,93,Private room,4 reviews,
A cozy and fair price room in NY,66,Private room,10 reviews,
Cozy Room in 3BD Apt,88,Private room,0 reviews,
Gorgeous 1br City View Penthouse,242,Entire home/apt,2 reviews,
Sunny Studio on Prospect Park,135,Entire home/apt,32 reviews,
THE LINCOLN PARLOR,283,Entire home/apt,15 reviews,
"Big, Sunny, Modern Apartment w/VIEW",303,Entire home/apt,40 reviews,
"Red Hook, Single RM, FISHGRALA",93,Private room,0 reviews,
Mayor's Mansion - Garden Suite,168,Private room,71 reviews,
Stay in super cool williamsburg! :),114,Private room,13 reviews,
BEST SPACE IN WILLIAMSBURG,141,Private room,6 reviews,
Room in 2bdr with Private balcony!,121,Private room,5 reviews,
Classic Park Slope 1.5 Bedroom,168,Entire home/apt,1 review,
Luxury Living in Brooklyn,133,Shared room,41 reviews,
"COZY SUNNY ROOM, BLOCK 4RM TRAIN :)",141,Private room,5 reviews,
"Nice room, comfy bed, friendly host",71,Private room,16 reviews,
Cozy Brooklyn Home 20 mins to City!,110,Private room,6 reviews,
Twenty five minutes to Manhattan,88,Private room,26 reviews,
Lounge in Lefferts Garden for $24,32,Shared room,11 reviews,
Huge Loft - Private Bathroom Room B,88,Private room,10 reviews,
Sunset Retreat - Charming Oasis,121,Entire home/apt,75 reviews,
"Beautiful Light Apt Red Hook, Bklyn",182,Entire home/apt,84 reviews,
Brooklyn Apartment,162,Entire home/apt,5 reviews,
Sunny Room in Brooklyn Brownstone,101,Private room,1 review,
Cozy Private Room on a Lovely Block,88,Private room,15 reviews,
Brooklyn with a lot around you,135,Entire home/apt,3 reviews,
BUDGET LUXURY A BY BROOKLYN BRIDGE!,148,Private room,0 reviews,
European female artist's place,93,Private room,0 reviews,
Spacious apartment in Greenpoint.,121,Private room,0 reviews,
Room + Private Bath near Manhattan,94,Private room,4 reviews,
"Cozy modern, South Williamsburg",179,Entire home/apt,1 review,
Small Private Room # 1 and 1 Window,55,Private room,57 reviews,
Bright & Minimal,108,Private room,0 reviews,
2 Rooms Plus Continental Breakfast!,120,Private room,1 review,
Spacious 1 bedroom in Bushwick!,88,Private room,1 review,
Large sunny room w/prvt bathroom,108,Private room,15 reviews,
That's the Brooklyn way,73,Entire home/apt,9 reviews,
Beautiful Room in Brooklyn,101,Private room,0 reviews,
Classic Brooklyn brownstone,228,Private room,32 reviews,
Red Room with deck for two $1350/mo,114,Private room,9 reviews,
"Sunny, fits 3, close to attractions",74,Private room,64 reviews,
Cozy one bedroom in bushwick!,132,Entire home/apt,4 reviews,
2 Bedroom Apartment in Brooklyn,199,Entire home/apt,19 reviews,
Bright New Mod 1bd+RoofDeck/WBurg,229,Entire home/apt,7 reviews,
Budget Room in Williamsburg 3D,71,Private room,2 reviews,
Beautiful Space in Brooklyn Heights,337,Entire home/apt,10 reviews,
SAFE  AND BEAUTIFUL ACCOMODATION,108,Private room,95 reviews,
Cozy Common Room w/ Full size Bed,40,Shared room,8 reviews,
Fully furnished 1 br apt.,202,Entire home/apt,4 reviews,
Bright cheerful 1br in Clinton Hill,188,Entire home/apt,4 reviews,
Chic private apartment in townhouse,241,Entire home/apt,142 reviews,
Ridgewood/Bushwick beautiful room F,121,Private room,0 reviews,
Spacious Room on Franklin Avenue,66,Private room,0 reviews,
Private Entire 2 Bedroom Greenpoint,269,Entire home/apt,1 review,
"Loft in Clinton Hill, Brooklyn 3",101,Private room,25 reviews,
Huge one bedroom apartment,155,Entire home/apt,0 reviews,
European garden bed & breakfast,155,Entire home/apt,1 review,
Welcoming Park Slope Sunlit Bedroom,141,Private room,55 reviews,
Spacious Fort Greene Brownstone,121,Entire home/apt,2 reviews,
Ridgewood/Bushwick beautiful room B,135,Private room,0 reviews,
ZEN LOFT 1 - INSTANT BOOK NOW :),100,Private room,35 reviews,
Cozy Room in Williamsburg,108,Private room,1 review,
"Private, New Bedroom, 20min to Manh",92,Private room,9 reviews,
Brooklyn Cute Room + Private Bath!,94,Private room,1 review,
Williamsburg Warehouse Apartment,162,Entire home/apt,0 reviews,
Skyview Private Small Room,74,Private room,11 reviews,
Beautiful New Brooklyn Apartment,88,Private room,16 reviews,
Charming bedroom in Brooklyn,114,Private room,4 reviews,
"Large, Sunny, and Private BR in BK!",75,Private room,3 reviews,
Brooklyn Prospect Park Sunny Dormer,155,Private room,87 reviews,
LUXURY ROOM 2 CHARMING CLINTON HILL,148,Private room,18 reviews,
Big Sunny Loft Style Garden Apt,121,Entire home/apt,22 reviews,
Cozy room in 2BR apt in Bushwick!,78,Private room,0 reviews,
15minutes from downtown & Manhattan,67,Private room,24 reviews,
Modern Apt in Prime Williamsburg!,195,Entire home/apt,0 reviews,
Lofty 71 m² Apt + Private Garden,256,Entire home/apt,47 reviews,
Beautiful Williamsburg Sanctuary!,133,Private room,16 reviews,
"Sunny,large, private room! Terrace!",78,Private room,0 reviews,
Red Room with deck for two $1350/mo,114,Private room,9 reviews,
Welcome to Brooklyn!,108,Private room,0 reviews,
Private Room in Beautiful Brooklyn,88,Private room,58 reviews,
Unique Artist's Apartment,162,Entire home/apt,0 reviews,
A  unique apartment with a sunroom!,199,Entire home/apt,33 reviews,
Guestroom w/ 2 beds 20 mins to NYC,74,Private room,108 reviews,
Sunny quiet Bushwick oasis,67,Private room,3 reviews,
bright studio loft in artsy bldg,175,Entire home/apt,123 reviews,
Bright Modern Brooklyn Home,93,Private room,5 reviews,
Renovated Clinton Hill Loft,128,Private room,9 reviews,
1bdrm apt by BK museum/Prospect Pk!,148,Entire home/apt,7 reviews,
Cozy & modern studio in Ft. Greene!,175,Entire home/apt,0 reviews,
Master bedroom in artsy Bushwick,59,Private room,1 review,
"CUTE, Spacious Room (LGBT) friendly",67,Private room,9 reviews,
"Luxury Warehouse Loft, Clinton Hill",202,Entire home/apt,0 reviews,
Williamsburg 2 BR Apt w View of NYC,168,Private room,0 reviews,
Private floor of a Brooklyn duplex,66,Private room,7 reviews,
Cozy room in Brooklyn,81,Private room,7 reviews,
Bushwick Apartment -close to trains,148,Entire home/apt,3 reviews,
Large Bedroom in Apt. Over Cute Bar,74,Private room,0 reviews,
Private Room in Wonderful BedStuy!,101,Private room,0 reviews,
Excellent Location in Williamsburg,114,Private room,36 reviews,
Sweet Luxe Bed w/Private Backyard,85,Private room,7 reviews,
Spacious Private Bushwick Room/Bath,101,Private room,6 reviews,
Room in Artist loft,94,Private room,6 reviews,
Beautiful Sunny Loft Brooklyn,214,Entire home/apt,3 reviews,
Private brownstone studio Brooklyn,215,Entire home/apt,73 reviews,
Cozy room in the heart of Bushwick.,54,Private room,0 reviews,
"Charming, spacious Park Slope apt",202,Entire home/apt,8 reviews,
Charming and Peaceful Brooklyn Apt,81,Private room,0 reviews,
Private Entrance BD in Artist Home,101,Private room,6 reviews,
Sun filled private room in Brooklyn,78,Private room,9 reviews,
HUGE Bedroom in Brownstone,61,Private room,2 reviews,
Modern Bushwick loft w/private bath,93,Private room,6 reviews,
"Queen Bed, Ideal Room and Location!",121,Private room,5 reviews,
Modern Apt - Vibrant Neighborhood!,168,Entire home/apt,17 reviews,
Quirky Loft - Steps From L Train,88,Private room,6 reviews,
Glowing Respite in Park Slope,101,Private room,33 reviews,
2 Bedroom in Carroll Gardens West,195,Entire home/apt,24 reviews,
Spacious Sunny Park Slope Penthouse,269,Entire home/apt,20 reviews,
Intimate modern one bedroom,50,Private room,3 reviews,
Modern Sunny Queer Friendly Loft,97,Private room,40 reviews,
Lofty Chic Lrge 2bd in Carriage Hse,269,Entire home/apt,29 reviews,
Private fits 3 ppl. Prospect Park,74,Private room,34 reviews,
"LARGE PRIVATE FLOOR IN BROOKLYN, NY",121,Entire home/apt,103 reviews,
Room in 3 BD Apt - 15 min Manhattan,78,Private room,5 reviews,
Awesome Room 2 Beds 20 min to City,101,Private room,4 reviews,
"Bushwick Biodome Loft , Great View!",108,Private room,24 reviews,
Sweet n' Spectacular PARK SLOPE!!!,94,Private room,94 reviews,
BROOKLYN  STUDIO APARTMENT,135,Private room,143 reviews,
"Sunny, Clean & Newly Renovated Pad",81,Private room,4 reviews,
Single Room for Professional –Clean,57,Private room,0 reviews,
Cozy private bedroom/living room,101,Private room,0 reviews,
Cozy room in nyc!,66,Private room,185 reviews,
Prospect Heights Pied-a-terre,160,Entire home/apt,5 reviews,
Garden Level Studio,148,Private room,9 reviews,
Private Room & Bath w/City Views,101,Private room,72 reviews,
"Large, sunny apartment with rooftop",269,Entire home/apt,1 review,
1 Bedroom in Super Hip Neighborhood,74,Private room,0 reviews,
Beautiful Brownstone Apartment,215,Entire home/apt,9 reviews,
Nice & bright room in Bushwick,53,Private room,32 reviews,
NICE ROOM #1 ~ AWESOME LOCATION!!!,222,Private room,6 reviews,
Cozy rooms with private bath,114,Private room,38 reviews,
"Big, Open Red Hook Loft",188,Entire home/apt,7 reviews,
Bright and spacious 1 bedroom,209,Entire home/apt,22 reviews,
Private bedroom in Williamsburg,101,Private room,0 reviews,
Private Orange Room,81,Private room,5 reviews,
Amazing room in Williamsburg House,128,Private room,0 reviews,
Brooklyn Cozy One bedroom Apartment,121,Entire home/apt,3 reviews,
Only 1 minute-walk to Park & Metro!,79,Private room,43 reviews,
Classic Williamsburg loft bedroom,67,Private room,23 reviews,
Beautiful Brownstone in Brooklyn,73,Private room,1 review,
Brooklyn Boheme - Large Private 1BD,101,Private room,17 reviews,
COMFY/COZY ROOM IN WILLIAMSBURG,108,Private room,9 reviews,
"Large, lofty  2 bedroom - sleeps 4",160,Entire home/apt,0 reviews,
large spacious room,121,Private room,76 reviews,
Bushwick Duplex 3 (suite),168,Private room,0 reviews,
Quiet room facing lush backyard,101,Private room,4 reviews,
2) Super Cozy Room in Brooklyn!,88,Private room,41 reviews,
Brooklyn Charm- The Living Room,67,Shared room,9 reviews,
Huge 2-bd triplex in Clinton Hill,202,Entire home/apt,0 reviews,
Our Perfect Apartment,88,Private room,0 reviews,
Cozy Apt in the heart Williamsburg,242,Entire home/apt,9 reviews,
Sunny Bedroom in Williamsburg,94,Private room,1 review,
Staycation 4-8  Apartment Duplex,229,Entire home/apt,65 reviews,
A Tree Grows in Brooklyn,114,Private room,0 reviews,
Williamsburg Penthouse Guestroom,101,Private room,27 reviews,
Cozy Stay in Brooklyn,93,Private room,20 reviews,
Cozy and Cute: A Room in Bed-Stuy,88,Private room,5 reviews,
SUNNY MODERN LOFT A ON BEDFORD AVE!,129,Private room,56 reviews,
Sunny WILLIAMSBURG. Home Sweet Home,269,Entire home/apt,96 reviews,
An One Bedroom Williamsburg Gem,202,Entire home/apt,1 review,
SUN-filled Williamsburg Apartment,128,Entire home/apt,1 review,
"Bedford L Stop, Bright 1Bedroom APT",229,Entire home/apt,1 review,
"Private, spacious room in Brooklyn",75,Private room,91 reviews,
Cosy sunny room for 2,74,Private room,13 reviews,
Luxury Garden Brownstone Apartment,201,Entire home/apt,19 reviews,
"20 mins to Manhattan,Private Room A",94,Private room,15 reviews,
Large Loft/Studio with Private room,114,Private room,1 review,
spacious room in brooklyn,88,Private room,0 reviews,
Greenpoint 2 Bedroom Duplex,229,Entire home/apt,0 reviews,
"Beautiful Light Apt Red Hook, Bklyn",182,Entire home/apt,84 reviews,
Wonderful Master Bedroom in Triplex,128,Private room,1 review,
bklyn private bedroom bathroom lux,108,Private room,26 reviews,
Cosy w Private bathroom in Bushwick,114,Private room,3 reviews,
Great room for $55 in Brooklyn!!!!,74,Private room,12 reviews,
Sunny Room in Classic Artist's Loft,114,Private room,44 reviews,
Hip/Trendy Brooklyn Loft Apartment.,88,Private room,16 reviews,
Perfect Rm Brooklyn Near 12 Trains,108,Private room,0 reviews,
House on Henry (3rd FLR Suite),215,Entire home/apt,105 reviews,
Huge Room w Private Bathroom W'burg,128,Private room,3 reviews,
"CUTE, Spacious Room (LGBT) friendly",67,Private room,9 reviews,
Private room in artist's loft!,74,Private room,11 reviews,
Brooklyn Home Base,236,Entire home/apt,41 reviews,
BedStuy Oasis with Private Yard!,94,Private room,19 reviews,
COMFY ROOM #1 ~ AMAZING LOCATION!!!,268,Private room,6 reviews,
Historic River Storefront w/Garden,236,Entire home/apt,100 reviews,
Brooklyn Garret Apartment,215,Entire home/apt,8 reviews,
"Charming apt. in Brooklyn, New York",188,Entire home/apt,9 reviews,
New Budget Room #2 - Sleeps 4!,93,Private room,29 reviews,
New studio APT with marble floors!,92,Entire home/apt,87 reviews,
Huge Williamsburg Duplex w/ View,121,Private room,9 reviews,
Private Room in Brooklyn,79,Private room,26 reviews,
